preferred_term	from_id	to_id_or_label
KNO3	CHEBI:58242	CHEBI:63043
Na2S2O3	CHEBI:59168	CHEBI:132112
KNO3	CHEBI:58242	CHEBI:63043
KNO3	CHEBI:58242	CHEBI:63043
KNO3	CHEBI:58242	CHEBI:63043
(NH4)2HPO4	CHEBI:62476	CHEBI:63051
KNO3	CHEBI:58242	CHEBI:63043
Na2S2O3	CHEBI:59168	CHEBI:132112
KNO3	CHEBI:58242	CHEBI:63043
KNO3	CHEBI:58242	CHEBI:63043
Na2SeO4 x 10 H2O	CHEBI:32586	CHEBI:77775
(NH4)2HPO4	CHEBI:62476	CHEBI:63051
(NH4)2HPO4	CHEBI:62476	CHEBI:63051
(NH4)2HPO4	CHEBI:62476	CHEBI:63051
KNO3	CHEBI:58242	CHEBI:63043
Na2SeO4	CHEBI:59160	CHEBI:77775
KNO3	CHEBI:58242	CHEBI:63043
Na2SeO4	CHEBI:59160	CHEBI:77775
(NH4)2HPO4	CHEBI:62476	CHEBI:63051
(NH4)2HPO4	CHEBI:62476	CHEBI:63051
KNO3	CHEBI:58242	CHEBI:63043
Na2SeO4	CHEBI:59160	CHEBI:77775
Na2SeO4	CHEBI:59160	CHEBI:77775
KNO3	CHEBI:58242	CHEBI:63043
Na2SeO4	CHEBI:59160	CHEBI:77775
KNO3	CHEBI:58242	CHEBI:63043
Na2SeO4	CHEBI:59160	CHEBI:77775
Na2S2O3	CHEBI:59168	CHEBI:132112
Na2SeO4	CHEBI:59160	CHEBI:77775
KNO3	CHEBI:58242	CHEBI:63043
Trigonelline HCl	CHEBI:18123	CHEBI:229203
HEPES	CHEBI:143268	CHEBI:46756
KNO3	CHEBI:58242	CHEBI:63043
